Title,Certificate,Genre,Rating,Running Time,Directors,Writers,Stars Cast,Country,Language,Budget,Gross,Release Date,Production Company
The Verdict,R,Drama,8,122 min.,Sidney Lumet,NULL,Paul Newman|Charlotte Rampling|Jack Warden|Milo O'Shea,USA,NULL,NULL,NULL,"Dec 10, 1982 (USA)",20th Century Fox|Zanuck Company
The Victors,NULL,Drama|War,6,156 min.,Carl Foreman,NULL,George Hamilton|George Peppard|Eli Wallach|James Mitchum,UK|USA,NULL,NULL,NULL,NULL,Columbia Pictures|Franco London Films|Highroad Productions
The Virgin Spring,NULL,Drama,8,88 min.,Ingmar Bergman,NULL,Max von Sydow|Birgitta Valberg|Brigitta Pettersson|Gunnel Lindblom,Sweden,NULL,NULL,NULL,NULL,Svensk Filmindustri|Swedish Film Production
The Virgin Suicides,R,Drama,8,97 min.,Sofia Coppola,NULL,Kirsten Dunst|James Woods|Kathleen Turner|Josh Hartnett,USA,NULL,NULL,NULL,"Apr 21, 2000 (USA - Limited)",American Zoetrope
The Voice of the Turtle,NULL,Comedy|War,6,103 min.,Irving Rapper,NULL,Ronald Reagan|Eleanor Parker|Eve Arden|Wayne Morris,USA,NULL,NULL,NULL,"Dec 25, 1947 (USA - Unknown)",Warner Brothers
The Wages of Fear,NR,Thriller,10,138 min.,Henri-Georges Clouzot,NULL,Yves Montand|Charles Vanel|Peter Van Eyck|William Tubbs,France|Italy,NULL,NULL,NULL,NULL,CICC Productions|Filmsonor Productions|Fono Roma|Vera Films
The Wailing,NR,Thriller,8,156 min.,Na Hong-jin,NULL,Jun Kunimura|Chun Woo-hee,South Korea,NULL,NULL,NULL,"May 27, 2016 (USA - Limited)",NULL
The Walking Dead,R,Drama|War,6,89 min.,Preston A. Whitmore II,NULL,Allen Payne|Eddie Griffin|Joe Morton|Vonte Sweet,USA,NULL,NULL,NULL,"Feb 24, 1995 (USA - Unknown)",NULL
The Wall,R,Action|Drama|Thriller,7,89 min.,Doug Liman,NULL,Aaron Taylor-Johnson|John Cena|Laith Nakli,USA,NULL,NULL,NULL,"May 12, 2017 (USA - Limited)",Big Indie Pictures|Picrow
The Waltons: A Christmas Carol,NULL,Drama,8,94 min.,NULL,NULL,Will Geer|Michael Learned|Judy Norton-Taylor|Richard Thomas,USA,NULL,NULL,NULL,NULL,NULL
The Wanderers,R,Drama,8,113 min.,Philip Kaufman,NULL,Ken Wahl|John Friedrich|Karen Allen|Linda Manz,USA,NULL,NULL,NULL,NULL,Orion|Warner Brothers
The War Boy,R,Drama|War,6,86 min.,Allan Eastman,NULL,Helen Shaver|Kenneth Welsh,Canada|USA,NULL,NULL,NULL,NULL,Norstar Releasing
The War Bride,NULL,Drama|War,6,103 min.,Lyndon Chubbuck,NULL,Anna Friel|Brenda Fricker|Aden Young|Loren Dean,Canada|UK,NULL,NULL,NULL,NULL,DB Entertainment|Harvest Pictures II|Vanguard Entertainment
The War Game,NULL,Drama,8,49 min.,Peter Watkins,NULL,NULL,UK,NULL,NULL,NULL,NULL,British Film Institute|PathÃƒÂ© Films
